date,product_id,product_name,quantity,sales_ex_tax
2016-04-01,3,Office cube periscope (Black),80,1480.00
2016-04-01,4,USB food flash drive - sushi roll,18,576.00
2016-04-01,8,USB food flash drive - dim sum 10 drive variety pack,2,480.00
2016-04-02,1,USB missile launcher (Green),4,100.00
2016-04-02,2,USB rocket launcher (Gray),8,30.00
2016-04-02,4,USB food flash drive - sushi roll,5,24.00
2016-04-02,8,USB food flash drive - dim sum 10 drive variety pack,7,252.00
2016-04-04,1,USB missile launcher (Green),22,358.75
2016-04-04,3,Office cube periscope (Black),50,925.00
2016-04-04,6,USB food flash drive - hot dog,2,64.00
2016-04-05,3,Office cube periscope (Black),50,925.00
2016-04-05,4,USB food flash drive - sushi roll,3,14.40
2016-04-05,5,USB food flash drive - hamburger,17,272.00
2016-04-06,3,Office cube periscope (Black),90,1665.00
2016-04-06,5,USB food flash drive - hamburger,16,267.20
2016-04-06,8,USB food flash drive - dim sum 10 drive variety pack,5,1200.00
2016-04-07,1,USB missile launcher (Green),1,25.00
2016-04-07,2,USB rocket launcher (Gray),5,18.75
2016-04-07,3,Office cube periscope (Black),40,740.00
2016-04-07,4,USB food flash drive - sushi roll,8,256.00
2016-04-07,5,USB food flash drive - hamburger,8,38.40
2016-04-07,6,USB food flash drive - hot dog,2,64.00
2016-04-07,7,USB food flash drive - pizza slice,3,14.40
2016-04-07,8,USB food flash drive - dim sum 10 drive variety pack,13,3120.00
2016-04-08,1,USB missile launcher (Green),8,200.00
2016-04-08,4,USB food flash drive - sushi roll,12,384.00
2016-04-08,5,USB food flash drive - hamburger,3,14.40
2016-04-08,6,USB food flash drive - hot dog,8,256.00
2016-04-08,7,USB food flash drive - pizza slice,14,203.20
2016-04-08,8,USB food flash drive - dim sum 10 drive variety pack,16,576.00
2016-04-09,3,Office cube periscope (Black),110,2035.00
2016-04-09,5,USB food flash drive - hamburger,10,320.00
2016-04-09,7,USB food flash drive - pizza slice,27,864.00
2016-04-09,8,USB food flash drive - dim sum 10 drive variety pack,3,720.00
2016-04-11,1,USB missile launcher (Green),15,375.00
2016-04-11,2,USB rocket launcher (Gray),19,262.50
2016-04-11,3,Office cube periscope (Black),230,4255.00
2016-04-11,4,USB food flash drive - sushi roll,19,363.20
2016-04-11,5,USB food flash drive - hamburger,3,96.00
2016-04-11,6,USB food flash drive - hot dog,4,19.20
