value_ex_tax,units,item_name,sku,day
4320.00,18,USB food flash drive - dim sum 10 drive variety pack,8,2016-04-28
70.40,9,USB food flash drive - pizza slice,7,2016-04-28
96.00,3,USB food flash drive - hot dog,6,2016-04-28
256.00,8,USB food flash drive - hamburger,5,2016-04-28
1030.40,39,USB food flash drive - sushi roll,4,2016-04-28
2220.00,120,Office cube periscope (Black),3,2016-04-28
251.25,16,USB rocket launcher (Gray),2,2016-04-28
325.00,13,USB missile launcher (Green),1,2016-04-28
32.00,1,USB food flash drive - pizza slice,7,2016-04-27
14.40,3,USB food flash drive - hot dog,6,2016-04-27
9.60,2,USB food flash drive - hamburger,5,2016-04-27
32.00,1,USB food flash drive - sushi roll,4,2016-04-27
3515.00,190,Office cube periscope (Black),3,2016-04-27
26.25,7,USB missile launcher (Green),1,2016-04-27
2880.00,12,USB food flash drive - dim sum 10 drive variety pack,8,2016-04-26
96.00,3,USB food flash drive - pizza slice,7,2016-04-26
1665.00,90,Office cube periscope (Black),3,2016-04-26
125.00,5,USB missile launcher (Green),1,2016-04-26
1680.00,7,USB food flash drive - dim sum 10 drive variety pack,8,2016-04-25
196.80,7,USB food flash drive - hamburger,5,2016-04-25
1110.00,60,Office cube periscope (Black),3,2016-04-25
287.50,20,USB missile launcher (Green),1,2016-04-25
100.00,4,USB missile launcher (Green),1,2016-04-23
192.00,6,USB food flash drive - pizza slice,7,2016-04-22
32.00,1,USB food flash drive - hot dog,6,2016-04-22
64.00,2,USB food flash drive - hamburger,5,2016-04-22
32.00,1,USB food flash drive - sushi roll,4,2016-04-22
50.00,2,USB rocket launcher (Gray),2,2016-04-22
305.00,19,USB missile launcher (Green),1,2016-04-22
2052.00,23,USB food flash drive - dim sum 10 drive variety pack,8,2016-04-21
14.40,3,USB food flash drive - pizza slice,7,2016-04-21
96.00,3,USB food flash drive - hamburger,5,2016-04-21
224.00,7,USB food flash drive - sushi roll,4,2016-04-21
555.00,30,Office cube periscope (Black),3,2016-04-21
266.25,20,USB missile launcher (Green),1,2016-04-21
9.60,2,USB food flash drive - hot dog,6,2016-04-20
64.00,2,USB food flash drive - sushi roll,4,2016-04-20
1850.00,100,Office cube periscope (Black),3,2016-04-20
175.00,7,USB missile launcher (Green),1,2016-04-20
432.00,12,USB food flash drive - dim sum 10 drive variety pack,8,2016-04-19
160.00,5,USB food flash drive - pizza slice,7,2016-04-19
454.40,21,USB food flash drive - hot dog,6,2016-04-19
175.00,7,USB rocket launcher (Gray),2,2016-04-19
30.00,8,USB missile launcher (Green),1,2016-04-19
972.00,10,USB food flash drive - dim sum 10 drive variety pack,8,2016-04-18
192.00,6,USB food flash drive - pizza slice,7,2016-04-18
97.60,9,USB food flash drive - hot dog,6,2016-04-18
576.00,18,USB food flash drive - hamburger,5,2016-04-18
1295.00,70,Office cube periscope (Black),3,2016-04-18
22.50,6,USB rocket launcher (Gray),2,2016-04-18
7.50,2,USB missile launcher (Green),1,2016-04-18
1440.00,6,USB food flash drive - dim sum 10 drive variety pack,8,2016-04-16
28.80,6,USB food flash drive - pizza slice,7,2016-04-16
320.00,10,USB food flash drive - hot dog,6,2016-04-16
43.20,9,USB food flash drive - hamburger,5,2016-04-16
960.00,4,USB food flash drive - dim sum 10 drive variety pack,8,2016-04-15
864.00,27,USB food flash drive - pizza slice,7,2016-04-15
288.00,9,USB food flash drive - hot dog,6,2016-04-15
38.40,8,USB food flash drive - sushi roll,4,2016-04-15
4625.00,250,Office cube periscope (Black),3,2016-04-15
155.00,13,USB rocket launcher (Gray),2,2016-04-15
